timestamp_dt,total_logs,warnings,xml_payloads,function_inputs,responses,unique_correlations,warning_ratio,hour,sin_hour,cos_hour,anomaly_score
2026-01-06 16:47:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:48:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:49:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:50:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:51:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:52:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:53:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:54:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:55:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:56:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:57:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:58:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 16:59:00+00:00,0,0,0,0,0,0,0.0,16,-0.8660254037844384,-0.5000000000000004,1
2026-01-06 17:00:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:01:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:02:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:03:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:04:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:05:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:06:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:07:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:08:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:09:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:10:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:11:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:12:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:13:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:14:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:15:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:16:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:17:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:18:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:19:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:20:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:21:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:22:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:23:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:24:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:25:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:26:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:27:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:28:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:29:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:30:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:31:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:32:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:33:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:34:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:35:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
